,commit_id,action,old_path,new_path,language,old_file_depth,new_file_depth,repo_id,bucket,file_depth_diff
7199,fcbdcfd1cb2fe73932cec1eb01f1e180c258bdf3,move,0823.json,"{""key"":""csp_XYQBiu_短视频"",""name"":""分享短视频(YXQ)"",""type"":3,""api"":""csp_XYQBiu"",""searchable"":1,""quickSearch"":1,""filterable"":0,""jar"":""https:/gitea.com/hongdeng98/TVBox/raw/branch/main/jar/XYQBiu.jar"",""ext"":""https:/gitea.com/hongdeng98/TVBox/raw/branch/main/XYQB/分享短视频.json""}0823.json",JSON,0,16,qist_tvbox,2,16
97713,da3716512cbcd1a36f8b350e2ce6b207b1618af8,move,linkis-engineconn-plugins/engineconn-plugins/spark/src/main/scala/com/webank/wedatasphere/linkis/engineplugin/spark/executor/parser/SparkCombinedCodeParser.scala,web/postcss.config.js,JavaScript,14,1,apache_linkis,191,13
104629,3282d0bcb123a67fd69a3312079c68cdfd66460d,move,linkis-public-enhancements/linkis-datasource/linkis-metadata-manager/service/kafka/src/main/java/org/apache/linkis/metadatamanager/service/KafkaParamsMapper.java,license-header,Java,13,0,apache_linkis,191,13
96697,51920c25aaf2a24e82055e0807f51a19a01d3a40,move,Merlin/1,Merlin/External.LCA_RESTRICTED/Languages/Ruby/ruby-1.8.6p368/lib/ruby/gems/1.8/gems/actionpack-2.3.5/test/controller/controller_fixtures/app/controllers/admin/user_controller.rb,Ruby,1,17,ironlanguages_ironpython2,238,16
111664,3b45b6496e4a5a6cb811efbc9668f4304992f281,move,run-export.sh,wave/src/main/java/org/waveprotocol/wave/client/wavepanel/view/dom/full/i18n/BlipLinkMessages_de.properties,Shell,0,13,swellrt_swellrt,348,13
111680,3b45b6496e4a5a6cb811efbc9668f4304992f281,move,run-data-migration.sh,wave/src/main/java/org/waveprotocol/wave/client/wavepanel/view/dom/full/i18n/ParticipantMessages_de.properties,Shell,0,13,swellrt_swellrt,348,13
111688,3b45b6496e4a5a6cb811efbc9668f4304992f281,move,build-swellrt.properties,wave/src/main/java/org/waveprotocol/wave/client/wavepanel/view/dom/full/i18n/ReplyBoxMessages_de.properties,Java Properties,0,13,swellrt_swellrt,348,13
111100,73d230afc952d26e67dd5493da8bff255b42643a,move,build-logic/consumer-rules.pro,jaxp/internal/src/main/resources/org/openjdk/com/sun/org/apache/xml/internal/serializer/utils/SerializerMessagers.properties,,1,15,sketchware-pro_sketchware-pro,387,14
118596,c5d6a9f270058e9a317a65fb69a4f5fbe541edb3,move,testsuite/integration/elytron/server-provisioning.xml,galleon-pack/src/main/resources/packages/product.conf/content/modules/system/layers/base/org/jboss/as/product/wildfly-full/module.xml,XML,3,16,wildfly_wildfly,401,13
128455,88feddbbba4bbb41a88b7fbd598d76d7c2c4f559,move,ee-9/common/src/main/resources/modules/system/layers/base/org/wildfly/clustering/el/glassfish/main/module.xml,boms/preview-ee/pom.xml,Maven POM,15,2,wildfly_wildfly,401,13
75054,38ae91f85464192c8d1129f1d844f35fad911579,move,centerserver/bin/ExceptionAliasExist.class,o2server/servers/applicationServer/work/x_bbs_assemble_control/webapp/WEB-INF/classes/com/x/bbs/assemble/control/jaxrs/permissioninfo/exception/ExceptionPermissionInfoProcess.class,,2,16,o2oa_o2oa,445,14
75183,38ae91f85464192c8d1129f1d844f35fad911579,move,centerserver/bin/ExceptionAppStyleNotExist.class,o2server/servers/applicationServer/work/x_bbs_assemble_control/webapp/WEB-INF/classes/com/x/bbs/assemble/control/jaxrs/sectioninfo/exception/ExceptionSectionInfoProcess.class,,2,16,o2oa_o2oa,445,14
75222,38ae91f85464192c8d1129f1d844f35fad911579,move,centerserver/bin/QiyeweixinPullSyncOrganizationTrigger.class,o2server/servers/applicationServer/work/x_bbs_assemble_control/webapp/WEB-INF/classes/com/x/bbs/assemble/control/jaxrs/subjectinfo/ActionSubjectListForPage$WoSubjectAttachment.class,,2,15,o2oa_o2oa,445,13
75636,38ae91f85464192c8d1129f1d844f35fad911579,move,centerserver/bin/ZhengwuDingdingPullSyncOrganizationTrigger.class,o2server/servers/applicationServer/work/x_meeting_assemble_control/webapp/WEB-INF/classes/com/x/meeting/assemble/control/jaxrs/attachment/ActionListWithMeeting$Wo.class,,2,15,o2oa_o2oa,445,13
75718,38ae91f85464192c8d1129f1d844f35fad911579,move,centerserver/bin/DingdingPullSyncOrganizationTrigger.class,o2server/servers/applicationServer/work/x_meeting_assemble_control/webapp/WEB-INF/classes/com/x/meeting/assemble/control/jaxrs/meeting/ActionListForwardMonthAll$WoRoom.class,,2,15,o2oa_o2oa,445,13
