repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,repo_id,bucket,max_file_depth_diff,95%
bishopfox_sliver,21375a5eab6b3f262293d799a7e5616004aad40d,1557492109,"Merge branch 'master' into stagers
","2ceb9845da5d877ac825add4868f188c91eaf53b,b48d3aedabbac2f34592b9133097ed3be9ff155b",3835,0,1,5,3841,"11,13,166,0,646,1385,905,480,197,95,30,56,1,2,5,3,10,14",18,4019,bishopfox_sliver,60,15.0,12.0
dashlane_android-apps,6e71a696fd99e0936e0c3ed87dac4b2b4c6e7cb6,1674726096,"First release
",8308333188828ca9c96ca83cceb2e2a8f9197705,3716,0,0,0,3716,"3,1,0,5,5,36,447,340,500,748,782,346,271,234,2",15,3720,dashlane_android-apps,20,13.0,13.0
matrix-org_matrix-android-sdk2,3ec8c0b445e4726e718e5c29df74e1c7b33bae3a,1597396852,Merge branch 'release/0.0.1',"5be926555197d76053a75c7968ffcda41c89952c,74059bda4864b4c8dc1a456db8962a15d34be73c",1281,0,0,0,1281,"9,8,3,1,1,110,0,0,6,22,179,487,348,110,0,0",14,1284,matrix-org_matrix-android-sdk2,73,13.0,13.0
postgresml_postgresml,2c16cf2653c1c1156df485e98198dafe9cc78a43,1661909588,"Rust extension -  XGBoost (#286)

* Rust XGBoost POC

* README

* vendor

* cleanup

* remove submodule

* readme

* Vendor

* readme

* Cleaner

* version

* move files",68859f38011c23038d512c841ce8b83badb63e4b,1448,0,0,0,1448,"7,24,54,52,81,28,103,727,391,45,8,0,1,2,37,53,32",17,1645,postgresml_postgresml,1,11.0,8.0
firebaseextended_firestore-codelab-extended-swift,4f513be93a95cbb75d78d74a6e2923ec2f87b23c,1534885544,"Merge pull request #13 from firebase/denver-fixes-start

Adding our fixes to the starter project, too","048656516076f0617424c5492def8b97365c432d,0b673703b12813269c8a384a590b6e9b38c55304",2700,0,0,0,2700,"8,12,82,461,430,695,501,287,267,21,8,0,0,2,0,4",16,2778,firebaseextended_firestore-codelab-extended-swift,56,12.0,9.0
google_bindiff,02373971f615bb50acf8a8236a1c5b514a4769d0,1595514575,"Internal change

PiperOrigin-RevId: 152491260
Change-Id: I65c80c7e7027533f9ca84958d258afea91036692
",862910ccbdbc80b5396a21c7e67f104b2a059226,1177,0,0,0,1177,"39,10,37,0,0,0,0,0,0,0,0,149,435,190,220,149,22,12",18,1263,google_bindiff,14,15.0,15.0
migomiddle_xms,329d965cf88508daa951d1a925a2bc8ee95c556e,1574228833,"init
",75cf034faac76dbfe83b0951cc71616a8f35ceb8,16706,0,0,0,16706,"3,0,59,1233,1262,978,8062,962,1072,951,627,267,310,439,447,36",16,16708,migomiddle_xms,0,15.0,10.0
newrelic_sidecar,729d82356e608dabf6bbae0bb926629a09336849,1449205111,"Vendor the world.
",d66fbbc15ac93f5cd43cc1fd7447c362bff999b6,567,0,0,0,567,"12,25,1,0,0,0,184,132,125,69,19,10,2,0,0,10,13",17,602,newrelic_sidecar,15,15.0,12.0
tangkuo_his,1dd4c884bef50f372937125c910156fefe52e52d,1562860003,"添加HIS-app
",12a7bd739a49df3e0ed5057b5d43915ff840231a,3371,0,0,0,3371,"4,8,102,642,229,71,4,29,13,61,216,536,1117,314,29",15,3375,tangkuo_his,59,14.0,15.0
apache_flink-statefun,0968a28162b03bcc922385e679f211da4e3a782c,1579887272,"Migrate the internal repository

This commit squashes individual commits from the internal repository

Co-authored-by: Tzu-Li (Gordon) Tai <tzulitai@apache.org>
Co-authored-by: Seth Wiesman <sjwiesman@gmail.com>
Co-authored-by: Konstantin Knauf <knauf.konstantin@gmail.com>
Co-authored-by: morsapaes <marta.paes.moreira@gmail.com>
",00019786dd257ab091744bed9f6c5f988b5e8df2,440,0,0,0,440,"4,12,28,29,14,6,2,7,19,38,54,159,45,16,8,0",15,441,apache_flink-statefun,26,14.0,15.0
