repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,repo_id,bucket,commit_date,max_file_depth_diff
bishopfox_sliver,21375a5eab6b3f262293d799a7e5616004aad40d,2019-05-10 12:41:49,"Merge branch 'master' into stagers
","2ceb9845da5d877ac825add4868f188c91eaf53b,b48d3aedabbac2f34592b9133097ed3be9ff155b",3835,0,1,5,3841,"11,13,166,0,646,1385,905,480,197,95,30,56,1,2,5,3,10,14",18,4019,bishopfox_sliver,60,2019-05-10,15.0
eclipse_kapua,a56d9021b3775fd25a69da944e9ab759ed361e39,2016-10-14 15:23:13,"First contribution
",,1356,0,0,0,1356,"5,69,19,22,29,35,32,45,95,108,130,208,133,137,124,64,88,13,0,0",18,1356,eclipse_kapua,2,2016-10-14,18.0
gliderlabs_registrator,e2677212c2d851e64581286e4c8e99ec9ba8fead,2015-02-18 17:53:03,"overhaul of build/release system, modeled after logspout overhaul
",ee8720d50ab6677ca6e4932cfc1e03a040cbdbd6,4,215,0,0,219,"15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1,15,gliderlabs_registrator,0,2015-02-18,-16.0
dropbox_componentbox,9edec24093fe529f5db50a03bc4422c657179d4c,2022-03-03 13:41:16,"First commit
",,356,0,0,0,356,"10,4,5,8,6,38,1,33,31,29,14,96,51,28,2,0,0",15,356,dropbox_componentbox,13,2022-03-03,15.0
google_bindiff,02373971f615bb50acf8a8236a1c5b514a4769d0,2020-07-23 14:29:35,"Internal change

PiperOrigin-RevId: 152491260
Change-Id: I65c80c7e7027533f9ca84958d258afea91036692
",862910ccbdbc80b5396a21c7e67f104b2a059226,1177,0,0,0,1177,"39,10,37,0,0,0,0,0,0,0,0,149,435,190,220,149,22,12",18,1263,google_bindiff,14,2020-07-23,15.0
miguelmota_streamhut,dad2b6d7c2573c1620cee5f16bf80425fd082912,2014-11-03 09:10:41,"initial
",,5555,0,0,0,5555,"9,1,165,200,510,458,846,516,983,447,569,253,254,139,188,16,1",17,5555,miguelmota_streamhut,58,2014-11-03,17.0
newrelic_sidecar,729d82356e608dabf6bbae0bb926629a09336849,2015-12-04 04:58:31,"Vendor the world.
",d66fbbc15ac93f5cd43cc1fd7447c362bff999b6,567,0,0,0,567,"12,25,1,0,0,0,184,132,125,69,19,10,2,0,0,10,13",17,602,newrelic_sidecar,15,2015-12-04,15.0
dropbox_dbx_build_tools,062b7ced7133a905f0db351ab8cd4e3c5733b30f,2019-12-11 01:39:47,"Update from Dropbox.

GitOrigin-RevId: 7aab909583470e1a1b512f5f9ee39ac661da5383
",,4860,0,0,0,4860,"6,24,158,39,87,284,1714,1260,652,346,136,48,71,1,2,5,3,10,14",19,4860,dropbox_dbx_build_tools,74,2019-12-11,19.0
eclipse_jkube,ec4d78fc942de89fde69cd33a24644074514fa88,2019-09-05 10:49:40,"Initial commit
",,1083,0,0,0,1083,"2,11,22,14,3,148,140,103,69,74,112,147,77,35,74,30,21,1,0",18,1083,eclipse_jkube,49,2019-09-05,18.0
modernizr_modernizr,fa31361b7b23dc688f0f649cd9e416289e6ced8c,2013-01-25 23:45:51,"Merge pull request #794 from SlexAxton/3pre

Merge 3pre into master - feels good man","f5abc76971df265b256da81cbbaefd7493a63e41,7270c43d8b4ef4817e972989bdd556bbfaf21440",5967,23,83,2,6075,"13,106,196,97,251,161,599,431,503,2526,401,213,366,133,26,45,3,0,80",19,6150,modernizr_modernizr,41,2013-01-25,15.0
