,repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
17225,gisto_gisto,95dd9b9a2e4ec1dc19674881e7b5aba6d243eb4b,1364160868,"First commit.
",,28,0,0,0,28,"1,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",3,28,0.0,55
17226,gisto_gisto,c633fa3e355f1c1577cd1a897fe544bb15716de4,1364177029,"Added basic API
",2a909c26a16505b768c545b78cfd45505da2d8ba,889,0,0,0,889,"1,14,17,30,4,90,61,94,186,200,136,14,17,47,5,0,1,0",17,917,14.0,55
17227,gisto_gisto,cd54fb873e3b05185c687550a9014fb5cb26d660,1364256449,Created very basic design using flexbox.,e3e59fa76ff5f9d3afc9eb082aadf7163d8c24b9,7,0,0,0,7,"1,14,24,30,4,90,61,94,186,200,136,14,17,47,5,0,1,0",17,924,0.0,55
17228,gisto_gisto,ada6041e67f17f91212d695a9ee1607a5c8f4366,1364403747,Merge branch 'master' of https://bitbucket.org/sanusart/gisto.git,"0dbc221e27dbdbf4c9883da1db916164c6042c03,6fcaa22c13d274287c2f1b8a57ca15d3a3cf39dd",2,0,0,0,2,"1,14,26,30,4,90,61,94,186,200,136,14,17,47,5,0,1,0",17,926,0.0,55
17229,gisto_gisto,5e60e7806255eb83eb03ab2c7661dda4214340f7,1364421297,Fixed search to read items from json file. LONG LIVE ANGULAR!!! The best thing I've seen/used so far!,ada6041e67f17f91212d695a9ee1607a5c8f4366,1,0,0,0,1,"1,15,26,30,4,90,61,94,186,200,136,14,17,47,5,0,1,0",17,927,0.0,55
17230,gisto_gisto,1ca2321cf3c4e61323b3c03d12e49403533f131c,1364591880,Fixed search to read items from json file - same structure as comming from `http://localhost:3000/gists`,5e60e7806255eb83eb03ab2c7661dda4214340f7,1,0,0,0,1,"1,15,27,30,4,90,61,94,186,200,136,14,17,47,5,0,1,0",17,928,0.0,55
17231,gisto_gisto,692f2b9881bfe1052047a5ba2603a09a26ac481c,1364676085,"branched 'sasha' from master, we must start working without headache of mix-up
",1cbb84e17afb002c70acf0635036bb99f4501cf7,1,0,0,0,1,"1,15,28,30,4,90,61,94,186,200,136,14,17,47,5,0,1,0",17,929,0.0,55
17232,gisto_gisto,b709e755fe33ccce4a77c70b32af6a01e8403449,1364756175,Break the html to templates and loading data to them works. I still in love with angular view engine - that I cant deny!!!,692f2b9881bfe1052047a5ba2603a09a26ac481c,2,2,0,0,4,"1,15,28,30,4,90,61,94,186,200,136,14,17,47,5,0,1,0",17,929,0.0,55
17233,gisto_gisto,5457527190aae833d61463e7fe5cd95ce753ed10,1364801658,"Added CORS headers to node ""server.js"" - now API works and gists get pulled - YUPPPIE !",513da188b305eac480391540ff2029c665794d05,1,0,0,0,1,"2,15,28,30,4,90,61,94,186,200,136,14,17,47,5,0,1,0",17,930,0.0,55
17234,gisto_gisto,fbf16c0d8625d313fe3b013af3057b58b419de0f,1364828679,"Moved API inside the app folder.
Added login screen
Added desktop wrapper node-webkit manifest file
",c7591e870df9dfd6bdf483856f2a218418f1c926,3,0,891,0,894,"2,16,26,4,30,4,90,61,94,186,200,136,14,17,47,5,0,1",18,933,1.0,55
17235,gisto_gisto,6807b76909ab7fe0699f49e470005762d6dffb53,1364935110,Back to onclick,86e6add40b7a5cbaf6e91f3bc1249b36f7ee2974,0,1,0,0,1,"2,15,26,4,30,4,90,61,94,186,200,136,14,17,47,5,0,1",18,932,0.0,55
