,repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket,proj_max_file_depth,lang
11,danmcinerney_xsscrapy,30c3360f6fd1b4ce83e45db805d08dc3709986aa,1408358023,"added test for XSS at end of url
",dc5dd8ae09bad13d160dce73e6b57bb94a6b9dcb,2449,0,0,0,2449,"4,11,3,89,158,819,1097,223,54,5",10,2463,7.0,0,9,Python
33,folioreader_folioreader-android,aea8bd6cfa3d11b539466484106756f5668b7974,1428510484,"up
",2946dd697e86e1d242df10ba901b52ab77e4f031,13,0,0,0,13,"3,0,0,0,0,0,6,0,0,1,6",11,16,10.0,0,10,JavaScript
98,gliderlabs_registrator,c21539694d60d5ead931aa1c3ccecd4a5095de69,1420995624,"Merge pull request #84 from blalor/upgrade_dockerclient

Properly upgrade github.com/fsouza/go-dockerclient","b033594c1c78ff17da7aa001f135ba5e65194afd,16f62b2f8e8136a5f22500b8c069f3ce52cfa4bf",118,0,0,0,118,"11,2,1,0,0,0,83,28,72,1,0,0,0,0,0,10,13",17,221,8.0,0,16,Go
116,migomiddle_xms,329d965cf88508daa951d1a925a2bc8ee95c556e,1574228833,"init
",75cf034faac76dbfe83b0951cc71616a8f35ceb8,16706,0,0,0,16706,"3,0,59,1233,1262,978,8062,962,1072,951,627,267,310,439,447,36",16,16708,15.0,0,15,C#
120,migomiddle_xms,3ac9a8334c6f80af09554f9a5041aeda7b20e70c,1575005986,"upgrade to .netcore 3.101
",59ffcd050837c591ed5e75b1ac7a734330291045,5233,138,366,0,5737,"6,0,58,1152,1235,1669,8149,754,1136,963,700,267,310,439,447,36",16,17321,5.0,0,15,C#
176,azure_azure-stream-analytics,b6fd5b315c01714fed04fac27da230a68fb5beb2,1431997733,"Restructured the folder and added the powershell script
",d63e9aa39ac020c8e919be5f8d101cb1f46aab54,81,146,343,0,570,"4,10,14,9,47,26,192,109,213,8,26,4,14",13,676,1.0,0,12,C#
265,lakesoul-io_lakesoul,10bfd5cc6a4bd56098d8f1b31c9bf6e05b01f968,1659433323,"Merge pull request #70 from meta-soul/split_submodules_for_maven_project

","ae6fcb5139f35ac73f6d9b514decb25c2f934670,fd0aad93c9393e936b004a87c90356ef2448240a",3,2,200,0,205,"12,13,4,8,0,0,2,0,18,51,101,8,5,3,8,4",16,237,1.0,0,15,Java
416,microsoft_perfview,17f72f752ea91a9b608f84e5f66a6ea0e69f02a3,1470956673,"Merge pull request #110 from Kae7in/master

PerfDataService V0.4","0aa6e0a04672e4288026579c6f16e8068ed6c922,e9639380e593aa3b0bc66d13ca56d0c75af79d20",148,6,1,0,155,"3,13,178,281,151,25,37,56,82,27,6",11,859,1.0,0,10,C#
673,plasmoapp_plasmo-voice,1bb4da44e53e3a469d2f8a9801d85ee468199e06,1665892600,"feat: 1.19 forge
",7aec7f87800227e69993e8d77db73d09adda7277,13,1,133,0,147,"6,4,7,2,4,0,3,6,17,40,90,160,128,50,28,2",16,547,1.0,0,15,Java
818,aemtools_aemtools,e2ca1446c48395d32dd1666b785b9cb92d1b4efe,1518168935,"Merge pull request #160 from aemtools/157_aem16

157 aem16","6b9e18f33546aaf917a7b20dfddd59ef8b5baf49,467f663ea6498619f4220611d82707beac3df6f9",12,0,0,0,12,"12,13,2,0,5,22,2,31,163,259,158,172,1,0,0,3",16,843,4.0,0,15,Kotlin
