,name,url,clone_url,default_branch,stargazers_count,owner.name,owner.type,description,language,topics,size,archived,created_at,pushed_at,ignored,lang,True positive
45653,netmaui-chat-app-challenge,https://github.com/jsuarezruiz/netmaui-chat-app-challenge,https://github.com/jsuarezruiz/netmaui-chat-app-challenge.git,main,211,jsuarezruiz,User,Chat App UI Challenge made with .NET MAUI.,C#,challenge|dotnet|dotnet-maui|ui-challenge,4297,FALSE,2022-01-08 16:14:54+00:00,2022-07-10 09:21:22+00:00,TRUE,C#,T
91572,PostDemo,https://github.com/xiaoyouxinqing/PostDemo,https://github.com/xiaoyouxinqing/PostDemo.git,master,551,xiaoyouxinqing,User,BBCo - iOS开发入门教程 SwiftUI 微博App项目实战 零基础学习Swift编程,Swift,ios|ios-app|ios-demo|ios-learning|swift|swift-demo|swift-learning|swiftui|swiftui-demo|swiftui-example|swiftui-learning,1717,FALSE,2020-02-03 23:50:33+00:00,2020-07-10 23:13:41+00:00,TRUE,Swift,T
20738,thrust,https://github.com/NVIDIA/thrust,https://github.com/NVIDIA/thrust.git,main,4821,NVIDIA,Organization,[ARCHIVED] The C++ parallel algorithms library. See https://github.com/NVIDIA/cccl,C++,algorithms|cpp|cpp11|cpp14|cpp17|cpp20|cuda|cxx|cxx11|cxx14|cxx17|cxx20|gpu|gpu-computing|nvidia|nvidia-hpc-sdk|thrust,17809,FALSE,2012-03-06 01:01:29+00:00,2024-02-08 15:54:40+00:00,TRUE,C_C++,F
29389,CVE-2020-15368,https://github.com/stong/CVE-2020-15368,https://github.com/stong/CVE-2020-15368.git,master,403,stong,User,"CVE-2020-15368, aka ""How to exploit a vulnerable driver""",C++,exploit|kernel|tutorial|windows,365,FALSE,2021-06-29 04:38:24+00:00,2022-04-14 03:17:44+00:00,TRUE,C_C++,T
95194,TestableDesignExample,https://github.com/Kuniwak/TestableDesignExample,https://github.com/Kuniwak/TestableDesignExample.git,master,84,Kuniwak,User,Sample App to learn a testable design (Smalltalk flavored MVC),Swift,design-patterns|ios|mvc-architecture|testability,7943,FALSE,2017-03-11 06:02:59+00:00,2020-01-27 06:50:52+00:00,TRUE,Swift,T
30966,Head-First-Design-Patterns,https://github.com/bethrobson/Head-First-Design-Patterns,https://github.com/bethrobson/Head-First-Design-Patterns.git,master,3044,bethrobson,User,Code for Head First Design Patterns book (2020),Java,,208,FALSE,2014-04-28 21:04:55+00:00,2023-12-05 09:09:01+00:00,TRUE,Java,T
95128,Algorithm-Solutions-In-Swift,https://github.com/boudhayan/Algorithm-Solutions-In-Swift,https://github.com/boudhayan/Algorithm-Solutions-In-Swift.git,main,86,boudhayan,User,"This repository contains 250+  data structures and algorithms solutions from AlgoExpert, LeetCode & HackerRank in Swift 🧑🏻‍💻",Swift,algoexpert|algoexperts|algorithm|algorithm-challenges|algorithms|algorithms-and-data-structures|algorithms-implemented|hackerrank|hackerrank-solutions|interview-preparation|interview-questions|leetcode|leetcode-practice|leetcode-questions|leetcode-solutions|leetcode-swift,516,FALSE,2021-07-17 10:19:50+00:00,2024-02-04 09:44:55+00:00,TRUE,Swift,T
246,awesome-quant,https://github.com/wilsonfreitas/awesome-quant,https://github.com/wilsonfreitas/awesome-quant.git,master,15188,wilsonfreitas,User,"A curated list of insanely awesome libraries, packages and resources for Quants (Quantitative Finance)",Python,algorithmic-trading-engine|algorithmic-trading-library|algotrading|arbitrage-bot|awesome|awesome-list|finance|finance-api|financial-data|financial-instruments|google-finance|quant|quantitative-finance|quantitative-trading|stock-data|technical-analysis|trading-algorithms|trading-bot|trading-strategies|yahoo-finance,1703,FALSE,2015-09-30 09:53:49+00:00,2024-02-20 08:46:08+00:00,TRUE,Python,T
76035,IPC-Examples,https://github.com/perihanmirkelam/IPC-Examples,https://github.com/perihanmirkelam/IPC-Examples.git,main,54,perihanmirkelam,User,"Client and server applications to perform inter-process communication. AIDL, Messenger and Broadcast performed in one app.",Kotlin,aidl|android|broadcast|ipc|kotlin|messenger|view-binding,174,FALSE,2020-12-20 20:27:08+00:00,2022-05-11 07:20:54+00:00,TRUE,Kotlin,T
22166,opengles3-book,https://github.com/danginsburg/opengles3-book,https://github.com/danginsburg/opengles3-book.git,master,1867,danginsburg,User,OpenGL ES 3.0 Programming Guide Sample Code,C,,4064,FALSE,2013-11-26 18:47:05+00:00,2023-04-26 22:14:57+00:00,TRUE,C_C++,T
75746,AndroidLibraryForGitHubPackagesDemo,https://github.com/enefce/AndroidLibraryForGitHubPackagesDemo,https://github.com/enefce/AndroidLibraryForGitHubPackagesDemo.git,master,58,enefce,Organization,Sample project showcasing the steps to publish and consume Android Libraries on the GitHub Packages Registry,Kotlin,android|android-application|android-development|android-library|android-studio|github-actions|github-package-registry|github-packages|gradle|kotlin,173,FALSE,2019-11-07 07:57:04+00:00,2021-06-30 13:50:45+00:00,TRUE,Kotlin,T
39194,Hebrew-Resources,https://github.com/NNLP-IL/Hebrew-Resources,https://github.com/NNLP-IL/Hebrew-Resources.git,master,220,NNLP-IL,Organization,A comprehensive list of Hebrew NLP resources.,Java,,20712,FALSE,2018-01-10 21:45:38+00:00,2024-02-07 09:45:21+00:00,TRUE,Java,T
74208,Android-App-Linking,https://github.com/SimonMarquis/Android-App-Linking,https://github.com/SimonMarquis/Android-App-Linking.git,master,90,SimonMarquis,User,🔗 The ultimate developer guide to Android application linking methods,Kotlin,,25656,FALSE,2017-09-04 20:07:36+00:00,2023-08-24 20:13:30+00:00,TRUE,Kotlin,T
13885,electron-boilerplate,https://github.com/sindresorhus/electron-boilerplate,https://github.com/sindresorhus/electron-boilerplate.git,main,1640,sindresorhus,User,Boilerplate to kickstart creating an app with Electron,JavaScript,app|boilerplate|electron|electron-boilerplate|template|template-repository,763,FALSE,2015-04-23 11:38:29+00:00,2022-08-17 23:56:39+00:00,TRUE,JavaScript,T
97144,stream-tutorial-projects,https://github.com/GetStream/stream-tutorial-projects,https://github.com/GetStream/stream-tutorial-projects.git,main,49,GetStream,Organization,"This repo contains SwiftUI, Jetpack Compose & React Native projects for some of the iOS and Android tutorial series in the Stream Developers YouTube channel (https://youtube.com/playlist?list=PLNBhvhkAJG6tJYnY-5oZ1JCp2fBNbVL_6). ",Swift,android-app|audio-room|callkit|facetime|jetpack-compose|jetpackcompose|livestreaming|pushkit|react-native|swift|swiftui|swiftui-animations|swiftui-tutorials|twitter-animation|video-call|video-calling|video-calling-app|voice-messages|voice-messaging,183832,FALSE,2022-05-08 20:15:22+00:00,2024-02-19 15:23:09+00:00,TRUE,Swift,T
