,repo_id,commit_id,commit_index,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
5221,wgzhao_addax,7ec3fb68e507f997acd13dee5a6fc416559ae1b6,0,1517387089,"v0.0
",,651,0,0,0,651,"7,52,44,0,136,0,0,0,4,52,231,101,24,0",13,651,13.0,0
5407,apache_servicecomb-samples,4bfdb295453193dc5bc82bb11365614a1a10b8df,1,1552393590,"add porter demo
",744217edf03b9d590975bf1084388d7389d75c0b,47,0,0,0,47,"2,2,5,0,0,4,7,7,0,5,0,7,9,0,0",13,48,12.0,0
7924,activiti_activiti,d571cbc794686cac01b437df88b770bcd2f2ab93,1,1276865672,"uploading activiti trunk
",60b23ed7eb42437400e039e8a15b71b969f6c14a,849,0,0,0,849,"2,11,33,10,105,27,39,56,117,320,79,50,0,0,0",12,849,12.0,0
12991,dogtagpki_pki,d0f2e4efbd3eb0f1d7f5a28e7f97c1fb4ec027bb,1,1205879817,"Initial open source version based upon proprietary Red Hat Certificate System (RHCS) 7.3.

git-svn-id: svn+ssh://svn.fedorahosted.org/svn/pki/trunk@2 c9f7a03b-bd48-0410-a16d-cbbf54688b0b
",273f8d85df5c31293a908185622b378c8f3cf7e8,3743,0,0,0,3743,"0,1,0,180,245,479,258,621,972,843,144,0",11,3743,11.0,0
17006,natanielruiz_android-yolo,99a3ea4271bb827ac7d4ff60e69b607153b3aeca,0,1480729196,"And so it is born !
",,6867,0,0,0,6867,"13,11,17,1,14,159,2415,1490,880,1287,414,38,32,96",14,6867,14.0,0
17092,getkirby_getkirby.com,31ea7948c29b273b77850e3507e832cf8f08bb27,0,1547399355,"first version
",,2704,0,0,0,2704,"10,17,176,628,524,1001,224,35,58,24,7,0",11,2704,11.0,0
18409,serverless_serverless,874734b048687fd14e0209fc7b1653d442da8907,52,1437975421,"updates
",28f090f67b413a558acd022704af5f99e4952272,1155,1,0,0,1156,"5,10,7,8,4,3,5,81,706,87,66,14,4,23,5,45,29,51,23,5,0,4",22,1185,17.0,0
18410,serverless_serverless,b95a503271a3aa166af8b657798becf375f02627,53,1437975557,"updates
",874734b048687fd14e0209fc7b1653d442da8907,0,1151,0,0,1151,"5,10,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",5,34,-17.0,0
23794,mirego_trikot,a8c5804b3b5b208c37f5f3e5f0fb0903fc10ea50,1,1641853812,"Add 'trikot-http/' from commit 'ccddf4977b211907c54c0fc5715d1f3f001b5ad8'

git-subtree-dir: trikot-http
git-subtree-mainline: 7b2d589f06d193adaed33309292af17e8cd81f3e
git-subtree-split: ccddf4977b211907c54c0fc5715d1f3f001b5ad8
","7b2d589f06d193adaed33309292af17e8cd81f3e,ccddf4977b211907c54c0fc5715d1f3f001b5ad8",55,0,0,0,55,"1,11,12,3,1,0,0,4,0,12,11,1,0,0,0",12,56,11.0,0
24486,ko2ic_image_downloader,01b28c09158a28ab08370fb3c13eccea722cdaef,0,1541497566,"first public release
",,76,0,0,0,76,"6,11,8,11,6,23,0,10,0,0,1",11,76,11.0,0
44295,kalcaddle_kodexplorer,7a731a5f618cadea0c65232b8cbdb2c7f4220939,1,1396375242,"2.1版本提交   初始化代码
",051a378c1b80e133f388933f720eca7aef35cc0d,1921,0,0,0,1921,"3,14,47,116,207,337,335,155,216,175,132,57,119,9",14,1922,13.0,0
49181,badtuxx_mutiraodevops,f40a4f32063ff38531697cb150d4e956bc79028c,1,1622925486,"Merge pull request #1 from gfechio/gfechio/proc_mem_net

Adicionando conteudo para Conceitos Linux SRE","0a00dd9acbb7fd2a5bdefb74d94bbffa32823109,b84081997c63d4927bae032164dfddf009b58cda",639,0,0,0,639,"1,2,3,2,5,1,0,4,97,496,27,0,2",13,640,12.0,0
49307,icerockdev_moko-widgets,90a52e2d5a2e1e95d8a3699f9b9900ed948c753b,0,1572246478,"initial commit
",,284,0,0,0,284,"10,4,10,6,37,74,8,38,75,10,12,0",11,284,11.0,0
50076,kevin-hf_education,ff7b7e042fa8a4b00a3e8364c146a39753eaecd9,0,1540431348,"test
",,4892,0,0,0,4892,"6,10,16,95,455,1610,1243,807,245,152,126,14,18,13,30,52",16,4892,16.0,0
51437,cloudslab_cloudsim,9de43c8d86e16c3f7a8b1c497a00499e1cb7acc1,0,1279782486,- Initial import of the source code,,138,0,0,0,138,"1,3,2,0,6,0,0,0,45,54,27,0,0",11,138,11.0,0
59995,actorapp_actor-platform,bd497d2ce6e46bf1efce16212ba5ccf317bfe867,1,1423285985,"Initial cross-platform implementation of mtproto and droidkit actors
",10df0f107493e3607e874e7660807c848d8069b6,335,0,0,0,335,"5,10,2,0,0,24,92,48,94,32,23,6,0,0,0",12,336,11.0,0
61065,calebporzio_onboard,0113934b013a2733b8183d8db11e44a93a6e3e58,0,1484337844,"initial commit
",,3283,0,0,0,3283,"2,6,11,243,498,613,749,818,323,13,2,3,2",13,3283,13.0,0
61071,calebporzio_onboard,7535e31d52188db74eea499941b44c3d5eb50791,8,1484344792,"removed the vendor directory
",a1db3aaca0c7fbebb0b0d7f2b6735691b41226a6,0,3276,0,0,3276,"5,7,0,0,0,0,0,0,0,0,0,0,0",2,12,-11.0,0
71565,nhat-phan_merge-request-integration,b4d1f3104c89f07dd7bff4bd4ef0397a916fb6ba,1,1578337176,"Release first version 2019.3.0
",179b93abe5b0b1f80afd5b4654da8f454b313c5b,368,0,0,0,368,"8,11,6,0,1,49,0,39,86,86,78,6",12,370,11.0,0
76458,droiter_openwrt-on-android,0c0e2192ac08f8daa76d08f17d0a114210ee3eff,1,1452354999,The beginning,3117487d129a9f2cac8d59ea8fd14b5e4df4f8b0,12615,0,0,0,12615,"1,3,18,77,137,2473,3421,1378,801,1160,1654,814,550,88,14,10,9,4,4",19,12616,18.0,0
80261,eclipse_kapua,a56d9021b3775fd25a69da944e9ab759ed361e39,0,1476458593,"First contribution
",,1356,0,0,0,1356,"5,69,19,22,29,35,32,45,95,108,130,208,133,137,124,64,88,13,0,0",18,1356,18.0,0
81161,gurupreet_composespotifydesktop,a10c2d30c3fe3e93c134606052c92ed4d4a60504,0,1605979129,"spotify home and search setup
",,242,0,0,0,242,"6,9,9,55,27,79,55,0,0,0,0,2",12,242,12.0,0
81474,openmessaging_benchmark,d7a602f96cd34a31fdb9603fc3d276db1d9fa6a2,0,1509387597,"Initial commit
",,26,0,0,0,26,"3,5,0,0,1,0,0,0,5,6,3,3",12,26,12.0,0
