,repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket,lang,95%,99%,99.9%,output
7,alibaba_p3c,a375ac4796bffc910419f806b5305164fe6fe888,1507910380,"Source code
",f1e233110392cd25a73d2b788de6222d899e5002,608,0,0,0,608,"4,13,12,17,12,0,27,3,1,6,59,34,68,51",14,307,13.0,25,Kotlin,9.0,11.0,13.921000000002095,node_modules
47,dashlane_android-apps,6e71a696fd99e0936e0c3ed87dac4b2b4c6e7cb6,1674726096,"First release
",8308333188828ca9c96ca83cceb2e2a8f9197705,3716,0,0,0,3716,"3,1,0,5,5,36,447,340,500,748,782,346,271,234,2",15,3720,13.0,20,Kotlin,9.0,11.0,13.921000000002095,node_modules
118,bishopfox_sliver,21375a5eab6b3f262293d799a7e5616004aad40d,1557492109,"Merge branch 'master' into stagers
","2ceb9845da5d877ac825add4868f188c91eaf53b,b48d3aedabbac2f34592b9133097ed3be9ff155b",3835,0,1,5,3841,"11,13,166,0,646,1385,905,480,197,95,30,56,1,2,5,3,10,14",18,4019,15.0,60,Go,6.0,10.0,15.0,node_modules
145,frewsxcv_rust-crates-index,846f600a1a1ea12919d3deb4c60343c847b9349d,1678072818,"Merge pull request #100 from illicitonion/sparse-url

","efa9b2506a73efea6dc1ec3b7ebb1ac6912c1279,c5682e4b98adb0fd28630bc94b83e7595f5abe5e",2,0,0,0,2,"4,7,1,0,0,0,0,0,0,0,1",11,13,8.0,38,Rust,3.0,6.0,10.0,node_modules
159,gitpitch_gitpitch,7c4efa5ab0fa5808d81000d3f167a811586b2685,1472266186,"Released GitPitch under open source MIT license.
",a87ea1987e0596858729ba6eaa96dada252a49b0,1139,0,0,0,1139,"7,11,4,7,114,20,37,81,26,20,72,45,0,699",14,1143,12.0,38,Python,4.0,7.0,11.739000000001397,node_modules
212,gitpitch_gitpitch,245d53865b94f1d28847e105a4d8fa3738989e97,1601361910,"4.0 release.
",e45b14eea06ddf826604b4fe33e15475db56ecb9,386,1339,0,0,1725,"9,29,359,37,11,0,0,0,0,0,0,0,0,0",5,445,-9.0,38,Python,4.0,7.0,11.739000000001397,node_modules
300,cnrancher_autok3s,06e72f83d3289e21c13927c93b909eb702c434dd,1596616972,"feat(autok3s): init autok3s structure

Signed-off-by: Jason-ZW <zhenyang@rancher.com>
",808d6a48de45c8565e440f168db405177b55fb8a,3629,0,0,0,3629,"9,8,17,73,708,1392,679,689,42,2,12",11,3631,10.0,72,Go,6.0,10.0,15.0,initial
486,kieronquinn_classicpowermenu,dd1a9b80feb6dbde639eac7461f796a5b360fa40,1632598023,"Initial code upload
",1e39d00b5fe75cfdb6565abc9a7586b3e88f294c,840,0,0,0,840,"10,21,4,5,5,459,29,37,33,91,94,6,44,6",14,844,13.0,11,Kotlin,9.0,11.0,13.921000000002095,node_modules
496,danmcinerney_xsscrapy,30c3360f6fd1b4ce83e45db805d08dc3709986aa,1408358023,"added test for XSS at end of url
",dc5dd8ae09bad13d160dce73e6b57bb94a6b9dcb,2449,0,0,0,2449,"4,11,3,89,158,819,1097,223,54,5",10,2463,7.0,0,Python,4.0,7.0,11.739000000001397,node_modules
499,danmcinerney_xsscrapy,30154795c31baf3b3ab39ae55ed674ff7a468439,1408437640,"rmed unnecessary files
",ffcff465360ee6c9f3b9883458238a6a4f4b1611,0,2445,0,0,2445,"4,11,2,0,0,0,0,0,0,0",3,17,-7.0,0,Python,4.0,7.0,11.739000000001397,node_modules
506,elastic-rs_elastic,b98a27b600fd7bd8c38d6c3c533f17f65423c46c,1450700006,"Initial work on json parser
",abc0081e072b1d8da64aeb2f855c9aa91b812a32,203,0,0,0,203,"3,2,111,1,2,78,2,3,2,2,0,0",10,206,9.0,58,Rust,3.0,6.0,10.0,node_modules
508,elastic-rs_elastic,4dec3a7f82af65906a362818170fca1975bf1eca,1450700200,"Deleting accidental target contents
",50f3c46d440dc8f744bee9e9130a5e0398194c48,0,90,0,0,90,"3,3,111,0,0,0,0,0,0,0,0,0",3,117,-7.0,58,Rust,3.0,6.0,10.0,node_modules
631,openshift_machine-config-operator,1f45d4be6c248561a79aab338681f170bcfedea0,1532632235,"Merge pull request #2 from abhinavdahiya/add_apis_client

*: init apis and client","30d522f9e6a3b4ab8b680e00fc64cbe2c75a59f5,1617f8012dbb72db8684abd7351b6c3b0c7ccabf",1696,0,0,0,1696,"4,12,4,39,267,776,248,224,71,13,25,19,0,0",12,1702,10.0,11,Go,6.0,10.0,15.0,initial
791,kieronquinn_monetcompat,c2f2126425c63b18f29005aeb50ac6f6a9b0ef65,1623617989,"Initial upload
",6be9c41e1a90bfe09358cdcdc80a7b65ab6a4b49,148,0,0,0,148,"9,14,2,2,0,56,0,0,31,17,7,14",12,152,11.0,16,Kotlin,9.0,11.0,13.921000000002095,node_modules
849,yuyakaido_gaia-legacy,1039d45d18a69670d1fff94b92542551290c7ed9,1572769884,"Delete legacy project
",9bb9bb6b1aa52bb1b0b20ce59a69eb40ed5e7541,0,201,0,0,201,"0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,0,-14.0,12,Kotlin,9.0,11.0,13.921000000002095,node_modules
862,jakeprim_appn,2ab33bd3a16c0f67a6f6c5a2e08cffc0cca9c8d8,1628078920,"nt
",5011e59f8ac4bc29243f06af868049303b08e5fa,0,6388,0,0,6388,"0,0,0,0,0,0,0,0,0,0,0,0,0",0,0,-13.0,76,Kotlin,9.0,11.0,13.921000000002095,node_modules
927,nirsky_react-native-size-matters,fb86e89d08613b5be62d563a4e251e4174bc34f0,1511263564,"first commit
",221f6d0676ee76b6051aad2e90329a3f54185161,59,0,0,0,59,"5,0,9,21,10,3,4,0,6,2",10,60,9.0,13,JavaScript,5.0,9.0,17.0,initial
927,folioreader_folioreader-android,aea8bd6cfa3d11b539466484106756f5668b7974,1428510484,"up
",2946dd697e86e1d242df10ba901b52ab77e4f031,13,0,0,0,13,"3,0,0,0,0,0,6,0,0,1,6",11,16,10.0,0,JavaScript,5.0,9.0,17.0,node_modules
937,eventuate-tram_eventuate-tram-sagas,ed3d9d666b78fecde77204c31673167024b0c501,1508731928,"Initial code
",3639e3275272b2b910cf0dbd0624d6a439ae27cf,132,0,0,0,132,"13,10,2,0,5,0,0,0,1,70,0,10,15,7,0",14,133,13.0,3,Java,9.0,12.0,15.0,node_modules
